State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
FL,2020,1,32.3,35.69999999999999,6.0,24.1,0.9,-81.0,10.700000000000005,37.9,27.40000000000001,2409.6385542168673,South
FL,2021,1,35.3,43.0,5.9,24.1,0.9,-82.0,10.666666666666671,37.9,27.40000000000001,2336.448598130841,South
FL,2022,1,35.599999999999994,50.3,6.0,24.1,0.9,-83.0,10.633333333333326,37.9,27.299999999999997,2463.054187192118,South
FL,2023,1,34.0,50.3,6.0,24.5,0.9,-83.0,10.599999999999994,37.9,29.09999999999999,2444.987775061125,South
GA,2018,1,25.5,17.299999999999997,7.0,32.1,4.9,-73.0,10.200000000000005,38.5,27.09999999999999,2136.7521367521367,South
GA,2019,1,24.299999999999997,23.65000000000001,7.0,32.1,4.9,-74.0,8.5,32.6,29.700000000000003,2136.7521367521367,South
GA,2020,1,25.200000000000003,30.0,6.7,32.1,4.9,-75.0,10.799999999999995,27.1,28.40000000000001,2096.4360587002097,South
GA,2021,1,24.0,36.35,6.7,32.1,4.9,-76.5,9.299999999999995,27.9,28.40000000000001,2074.688796680498,South
GA,2022,1,25.200000000000003,42.7,7.0,32.1,4.9,-78.0,10.0,18.95,28.59999999999999,2197.802197802198,South
GA,2023,1,24.40000000000001,42.7,7.0,30.4,4.9,-78.0,10.700000000000005,10.0,29.799999999999997,2145.9227467811156,South
HI,2018,1,35.400000000000006,18.5,6.0,16.1,0.0,-68.0,7.0,23.0,22.700000000000003,1792.1146953405018,West
HI,2019,1,36.3,27.200000000000003,6.0,16.1,0.0,-71.5,7.0,23.0,22.700000000000003,1792.1146953405018,West
HI,2020,1,39.7,35.900000000000006,5.0,16.1,0.0,-75.0,9.5,25.8,24.90000000000001,1715.2658662092624,West
HI,2021,1,37.6,44.599999999999994,5.2,16.1,0.0,-75.0,11.299999999999995,23.0,24.90000000000001,1557.632398753894,West
HI,2022,1,37.0,53.3,5.3,16.1,0.0,-75.0,7.599999999999994,21.4,27.700000000000003,1650.16501650165,West
HI,2023,1,37.6,53.3,5.3,16.6,0.0,-75.0,8.0,24.2,27.700000000000003,1628.6644951140065,West
IA,2018,1,14.5,18.59999999999999,5.0,19.5,10.1,-72.0,6.599999999999994,24.1,22.0,2659.574468085106,Midwest
IA,2019,1,14.099999999999994,25.39999999999999,5.0,19.7,10.1,-73.5,6.599999999999994,24.1,22.700000000000003,2659.574468085106,Midwest
IA,2020,1,15.900000000000006,32.19999999999999,4.7,19.7,10.1,-75.0,8.700000000000003,20.4,22.700000000000003,2590.6735751295337,Midwest
IA,2021,1,15.099999999999994,39.0,4.6,19.7,10.1,-74.0,8.400000000000006,20.4,23.200000000000003,2564.102564102564,Midwest
IA,2022,1,15.099999999999994,45.8,5.2,19.7,10.1,-73.0,8.099999999999994,20.4,23.200000000000003,2710.027100271003,Midwest
IA,2023,1,15.900000000000006,45.8,5.2,19.7,10.1,-73.0,7.799999999999997,20.4,23.5,2652.519893899204,Midwest
IL,2018,0,22.09999999999999,20.799999999999997,6.1,18.1,2.8,-80.0,7.0,30.8,24.299999999999997,1956.9471624266143,Midwest
IL,2019,0,21.200000000000003,29.200000000000003,6.1,18.1,2.8,-81.0,6.099999999999994,31.5,24.299999999999997,1956.9471624266143,Midwest
IL,2020,0,21.59999999999999,37.599999999999994,5.6,18.1,2.8,-82.0,8.599999999999994,27.6,24.5,1904.7619047619048,Midwest
IL,2021,0,19.799999999999997,46.0,5.6,18.1,2.8,-81.0,6.799999999999997,27.5,24.40000000000001,1862.19739292365,Midwest
IL,2022,0,21.700000000000003,54.4,5.8,18.1,2.8,-80.0,7.099999999999994,27.5,23.5,2028.397565922921,Midwest
IL,2023,0,21.90000000000001,54.4,5.8,20.0,2.8,-80.0,7.400000000000006,27.5,23.5,1996.007984031936,Midwest
IN,2018,1,22.0,18.90000000000001,6.6,30.9,5.6,-78.0,7.5,7.1,24.40000000000001,2450.9803921568628,Midwest
IN,2019,1,21.5,26.05000000000001,6.7,30.9,5.6,-80.5,7.5,7.1,24.40000000000001,2450.9803921568628,Midwest
IN,2020,1,22.299999999999997,33.2,6.7,30.9,5.6,-83.0,7.5,7.1,26.200000000000003,2409.6385542168673,Midwest
IN,2021,1,19.90000000000001,40.35,6.8,30.9,5.6,-83.0,7.5,7.1,25.299999999999997,2320.185614849188,Midwest
IN,2022,1,20.799999999999997,47.5,6.8,30.9,5.6,-83.0,7.5,7.1,22.90000000000001,2444.987775061125,Midwest
