State,Measure,Year,Value
AR,Maternal Mortality,2019,38.3
AR,Maternal Mortality,2020,38.3
AR,Maternal Mortality,2021,38.3
AR,Maternal Mortality,2022,38.3
AR,Maternal Mortality,2023,35.3
AR,Maternity Care Desert,2018,13.8
AR,Maternity Care Desert,2019,13.8
AR,Maternity Care Desert,2020,13.8
AR,Maternity Care Desert,2021,13.8
AR,Maternity Care Desert,2022,13.8
AR,Maternity Care Desert,2023,13.8
AR,Maternity Practices Score,2018,69.0
AR,Maternity Practices Score,2019,72.0
AR,Maternity Practices Score,2020,75.0
AR,Maternity Practices Score,2021,75.5
AR,Maternity Practices Score,2022,76.0
AR,Maternity Practices Score,2023,76.0
AR,Neonatal Mortality,2018,4.5
AR,Neonatal Mortality,2019,4.5
AR,Neonatal Mortality,2020,4.5
AR,Neonatal Mortality,2021,4.8
AR,Neonatal Mortality,2022,4.8
AR,Neonatal Mortality,2023,4.9
AR,Postpartum Depression,2018,19.1
AR,Postpartum Depression,2019,19.1
AR,Postpartum Depression,2020,23.2
AR,Postpartum Depression,2021,19.7
AR,Postpartum Depression,2022,16.75
AR,Postpartum Depression,2023,13.8
AR,Postpartum Visit,2018,88.8
AR,Postpartum Visit,2019,88.8
AR,Postpartum Visit,2020,88.3
AR,Postpartum Visit,2021,87.1
AR,Postpartum Visit,2022,85.69999999999999
AR,Postpartum Visit,2023,84.3
AR,Poverty,2018,16.7
AR,Poverty,2019,16.3
AR,Poverty,2020,16.35
AR,Poverty,2021,16.4
AR,Poverty,2022,17.2
AR,Poverty,2023,16.3
AR,Severe Maternal Morbidity,2018,69.8
AR,Severe Maternal Morbidity,2019,58.6
AR,Severe Maternal Morbidity,2020,67.8
AR,Severe Maternal Morbidity,2021,81.1
AR,Severe Maternal Morbidity,2022,70.1
AR,Severe Maternal Morbidity,2023,70.1
AR,Smoking During Pregnancy,2018,13.5
AR,Smoking During Pregnancy,2019,12.1
AR,Smoking During Pregnancy,2020,11.6
AR,Smoking During Pregnancy,2021,9.5
AR,Smoking During Pregnancy,2022,7.9
AR,Smoking During Pregnancy,2023,6.4
AR,Unemployment,2018,4.7
AR,Unemployment,2019,4.8
AR,Unemployment,2020,5.15
AR,Unemployment,2021,5.5
AR,Unemployment,2022,4.5
AR,Unemployment,2023,4.2
AR,Uninsured Women,2018,11.7
AR,Uninsured Women,2019,13.1
AR,Uninsured Women,2020,12.8
AR,Uninsured Women,2021,12.5
AR,Uninsured Women,2022,12.0
AR,Uninsured Women,2023,12.1
AR,Unintended Pregnancy,2018,35.4
AR,Unintended Pregnancy,2019,35.4
AR,Unintended Pregnancy,2020,33.7
AR,Unintended Pregnancy,2021,32.3
AR,Unintended Pregnancy,2022,32.3
AR,Unintended Pregnancy,2023,32.3
AR,Voter Participation (Average),2018,48.3
AR,Voter Participation (Average),2019,48.3
AR,Voter Participation (Average),2020,48.3
AR,Voter Participation (Average),2021,49.0
AR,Voter Participation (Average),2022,48.4
AR,Voter Participation (Average),2023,48.4
AR,WIC Coverage,2018,48.6
AR,WIC Coverage,2019,41.05
AR,WIC Coverage,2020,33.5
AR,WIC Coverage,2021,32.1
AR,WIC Coverage,2022,38.3
AR,WIC Coverage,2023,38.3
AR,Well-Woman Visit,2018,75.5
AR,Well-Woman Visit,2019,74.7
AR,Well-Woman Visit,2020,74.4
AR,Well-Woman Visit,2021,74.4
AR,Well-Woman Visit,2022,74.7
AR,Well-Woman Visit,2023,73.2
AR,Women's Health Providers,2018,29.7
AR,Women's Health Providers,2019,29.7
AR,Women's Health Providers,2020,30.4
AR,Women's Health Providers,2021,30.6
AR,Women's Health Providers,2022,29.8
AR,Women's Health Providers,2023,30.4
AZ,Adequate Prenatal Care,2018,70.9
AZ,Adequate Prenatal Care,2019,69.4
AZ,Adequate Prenatal Care,2020,69.0
AZ,Adequate Prenatal Care,2021,71.5
AZ,Adequate Prenatal Care,2022,71.7
AZ,Adequate Prenatal Care,2023,72.3
AZ,Avoided Care Due to Cost,2018,13.3
AZ,Avoided Care Due to Cost,2019,13.9
AZ,Avoided Care Due to Cost,2020,12.2
AZ,Avoided Care Due to Cost,2021,10.5
AZ,Avoided Care Due to Cost,2022,11.9
AZ,Avoided Care Due to Cost,2023,12.1
AZ,Cervical Cancer Screening,2018,79.4
AZ,Cervical Cancer Screening,2019,70.9
AZ,Cervical Cancer Screening,2020,62.400000000000006
AZ,Cervical Cancer Screening,2021,53.9
AZ,Cervical Cancer Screening,2022,45.4
AZ,Cervical Cancer Screening,2023,45.4
AZ,Concentrated Disadvantage,2018,32.2
AZ,Concentrated Disadvantage,2019,32.2
AZ,Concentrated Disadvantage,2020,32.2
AZ,Concentrated Disadvantage,2021,32.2
AZ,Concentrated Disadvantage,2022,32.2
AZ,Concentrated Disadvantage,2023,30.4
AZ,Food Insecurity,2018,11.0
AZ,Food Insecurity,2019,11.0
AZ,Food Insecurity,2020,11.0
AZ,Food Insecurity,2021,11.8
AZ,Food Insecurity,2022,11.8
AZ,Food Insecurity,2023,11.8
AZ,Gender Pay Gap,2018,83.5
AZ,Gender Pay Gap,2019,83.1
AZ,Gender Pay Gap,2020,83.15
AZ,Gender Pay Gap,2021,83.2
AZ,Gender Pay Gap,2022,86.4
AZ,Gender Pay Gap,2023,83.5
AZ,Infant Child Care Affordability,2018,13.9
AZ,Infant Child Care Affordability,2019,13.4
AZ,Infant Child Care Affordability,2020,13.1
AZ,Infant Child Care Affordability,2021,13.4
AZ,Infant Child Care Affordability,2022,13.3
AZ,Infant Child Care Affordability,2023,14.0
AZ,Infant Mortality,2018,5.6
AZ,Infant Mortality,2019,5.6
AZ,Infant Mortality,2020,5.3
AZ,Infant Mortality,2021,5.8
AZ,Infant Mortality,2022,5.8
AZ,Infant Mortality,2023,5.9
AZ,Low Birth Weight,2018,7.6
AZ,Low Birth Weight,2019,7.4
AZ,Low Birth Weight,2020,7.4
AZ,Low Birth Weight,2021,7.9
AZ,Low Birth Weight,2022,7.8
AZ,Low Birth Weight,2023,8.1
AZ,Low-Risk Cesarean Delivery,2018,21.3
